id	filename	md5	size	state
039648fe-aee6-48c2-961e-fb157ad71cfc	039648fe-aee6-48c2-961e-fb157ad71cfc/03895e36-d4e0-4849-a0f1-26550373338d.htseq.counts.gz	03aee1fdd0962c7e33ec79b06d10b340	255157	validated
083bd043-6b6d-455f-a198-871c501d2623	083bd043-6b6d-455f-a198-871c501d2623/5cb385a7-dab3-486c-83af-80aafe9c4669.FPKM-UQ.txt.gz	4abcc2c35825773117a37a953317e71d	510818	validated
08f93969-5f59-487f-a580-456c2b56f4f5	08f93969-5f59-487f-a580-456c2b56f4f5/0ecc60d5-6273-41f8-9fbc-70fb6373e47d.FPKM.txt.gz	0bab950a89a0a195d8e9a96c6c3b6a32	527099	validated
0c5eb897-7160-43bd-9353-a67c39f54915	0c5eb897-7160-43bd-9353-a67c39f54915/6632e6de-5170-4096-a298-078b6bfd3760.FPKM-UQ.txt.gz	b910746e7450b6697495dded8a4d45ab	519836	validated
0f5e8e23-81de-4c14-b413-6e06a29fd096	0f5e8e23-81de-4c14-b413-6e06a29fd096/0cae8943-749f-4314-aad0-b7f33e78c6e1.htseq.counts.gz	ceb1b8a84040e4ac310523f5513da5a9	253794	validated
0fb8ff6a-390c-4ebd-8c19-8f2e45db6909	0fb8ff6a-390c-4ebd-8c19-8f2e45db6909/b69ae69d-885b-487a-af7a-1a096f2726a2.FPKM.txt.gz	96d51195520d3e6697572df9c869dd90	496961	validated
0fc7aebe-343b-4572-bd5d-ad7d5f0c5816	0fc7aebe-343b-4572-bd5d-ad7d5f0c5816/7f08d0f0-7b1b-4ef0-a3ba-4bc12097a0bb.htseq.counts.gz	70913fcec99a025ebcc937d49fda03a6	248710	validated
1129869a-70ba-476c-a162-96a13f94df3e	1129869a-70ba-476c-a162-96a13f94df3e/0827bd64-de4e-45bc-9e75-a9bdce41f4a5.htseq.counts.gz	5e52fd3501ca1127c999b8fe1b664b38	251258	validated
1510597c-1933-4110-8acb-d00c5189b110	1510597c-1933-4110-8acb-d00c5189b110/5891f699-0097-48dd-b35a-0f8999af21c8.FPKM-UQ.txt.gz	b2e10abf920bfb10712125c147714e21	525139	validated
17bf5d73-c934-4890-8222-61e83a8512ef	17bf5d73-c934-4890-8222-61e83a8512ef/64ba6d44-548b-4c0b-b86f-5edf7deddd97.htseq.counts.gz	8645cf130d0a2f10387e570ac79baab4	257117	validated
190dd034-066b-4ba4-8c48-dc08b1df9396	190dd034-066b-4ba4-8c48-dc08b1df9396/b668544b-f580-4057-9187-b713b843e9e7.FPKM-UQ.txt.gz	8c253f704611c23477a5b45f06606651	510894	validated
194460aa-76ef-4b2c-b7f6-6dbac62a84be	194460aa-76ef-4b2c-b7f6-6dbac62a84be/55030097-d293-41e0-a554-38f40282b6dc.FPKM.txt.gz	fc402f24f836dd7c8ee039e363504200	516495	validated
19e43fef-672b-4400-8aab-e28cd58b6318	19e43fef-672b-4400-8aab-e28cd58b6318/95b8a790-8600-489c-bd34-09803ca600ae.FPKM.txt.gz	1637b7231f291baa3aee22bf15f68793	487079	validated
1a4e44fb-b882-490b-a9eb-ccc68f28d12d	1a4e44fb-b882-490b-a9eb-ccc68f28d12d/5deaf7ee-54a9-40b0-966d-b8478aa11207.FPKM.txt.gz	fe1055c8ad6f27b37c1a74e4c8094ce5	531644	validated
1a6370bf-e95b-46ea-854c-4e7ee7b3b42f	1a6370bf-e95b-46ea-854c-4e7ee7b3b42f/110de223-52e1-43b6-8c69-399a0af8b174.FPKM-UQ.txt.gz	2ee817964f8c1346139af7d81cda4909	512058	validated
1d6732d2-c627-4883-b2a3-c822a5023a06	1d6732d2-c627-4883-b2a3-c822a5023a06/a6f657a3-439e-4afd-be04-413f2ed02828.FPKM-UQ.txt.gz	b8c65f6ebe0f7641f543f944db0bfb28	543034	validated
1dfb26f3-061d-4ef9-b172-9901db1e975e	1dfb26f3-061d-4ef9-b172-9901db1e975e/ef51ae2e-91ac-4d5f-ba2a-0ae978ba33b9.FPKM-UQ.txt.gz	ce3418e3b8dbece32f3c8358dead6bce	544285	validated
